Empresa: Turismo Recrear (recrear)
Area: Administración (1ab6476e-88a3-4fe5-87e8-0e75d3f7b3a8)
Prode: Mundial 2026 (f3d5c87b-09ce-4b49-81ce-207a5832756d)
Competencia: Mundial 2026
Partidos futuros con prediccion: 54
Dry run: si
Count objetivo: 172
Batch tag: recrear0608a
Seed: 260608
Password: ********026@

Resumen:
- requested: 172
- created: 0
- ready_in_dry_run: 172
- skipped_existing_email: 0
- errors: 0
- total_predictions_created: 9288

Detalle:
- dry_run_ready | brisa.herrera.recrear0608a.001@gmail.com | Brisa Herrera | Listo para crear con 54 predicciones
- dry_run_ready | julieta.castro.recrear0608a.002@hotmail.com | Julieta Castro | Listo para crear con 54 predicciones
- dry_run_ready | elena.campos.recrear0608a.003@outlook.com | Elena Campos | Listo para crear con 54 predicciones
- dry_run_ready | bruno.peralta.recrear0608a.004@gmail.com | Bruno Peralta | Listo para crear con 54 predicciones
- dry_run_ready | nahuel.silva.recrear0608a.005@hotmail.com | Nahuel Silva | Listo para crear con 54 predicciones
- dry_run_ready | lorenzo.mansilla.recrear0608a.006@outlook.com | Lorenzo Mansilla | Listo para crear con 54 predicciones
- dry_run_ready | valentina.aguirre.recrear0608a.007@gmail.com | Valentina Aguirre | Listo para crear con 54 predicciones
- dry_run_ready | ignacio.aguirre.recrear0608a.008@hotmail.com | Ignacio Aguirre Castro | Listo para crear con 54 predicciones
- dry_run_ready | valentina.ruiz.recrear0608a.009@outlook.com | Valentina Ruiz | Listo para crear con 54 predicciones
- dry_run_ready | olivia.correa.recrear0608a.010@gmail.com | Olivia Correa | Listo para crear con 54 predicciones
- dry_run_ready | tiziano.roldan.recrear0608a.011@hotmail.com | Tiziano Roldan | Listo para crear con 54 predicciones
- dry_run_ready | lorenzo.peralta.recrear0608a.012@outlook.com | Lorenzo Peralta | Listo para crear con 54 predicciones
- dry_run_ready | milagros.acosta.recrear0608a.013@gmail.com | Milagros Acosta | Listo para crear con 54 predicciones
- dry_run_ready | ignacio.roldan.recrear0608a.014@hotmail.com | Ignacio Roldan | Listo para crear con 54 predicciones
- dry_run_ready | facundo.godoy.recrear0608a.015@outlook.com | Facundo Godoy | Listo para crear con 54 predicciones
- dry_run_ready | victoria.torres.recrear0608a.016@gmail.com | Victoria Torres Ortiz | Listo para crear con 54 predicciones
- dry_run_ready | joaquin.villalba.recrear0608a.017@hotmail.com | Joaquin Villalba | Listo para crear con 54 predicciones
- dry_run_ready | tiziano.lopez.recrear0608a.018@outlook.com | Tiziano Lopez | Listo para crear con 54 predicciones
- dry_run_ready | malena.martinez.recrear0608a.019@gmail.com | Malena Martinez | Listo para crear con 54 predicciones
- dry_run_ready | julieta.leiva.recrear0608a.020@hotmail.com | Julieta Leiva | Listo para crear con 54 predicciones
- dry_run_ready | ramiro.benitez.recrear0608a.021@outlook.com | Ramiro Benitez | Listo para crear con 54 predicciones
- dry_run_ready | lorenzo.alvarez.recrear0608a.022@gmail.com | Lorenzo Alvarez | Listo para crear con 54 predicciones
