Empresa: Turismo Recrear (recrear)
Area: Administración (1ab6476e-88a3-4fe5-87e8-0e75d3f7b3a8)
Prode: Mundial 2026 (f3d5c87b-09ce-4b49-81ce-207a5832756d)
Competencia: Mundial 2026
Partidos futuros con prediccion: 72
Dry run: si
Count objetivo: 30
Batch tag: recrear20260609b
Seed: 260608
Password: ********026@

Resumen:
- requested: 30
- created: 0
- ready_in_dry_run: 30
- skipped_existing_email: 0
- errors: 0
- total_predictions_created: 2160

Detalle:
- dry_run_ready | brisa.herrera@gmail.com | Brisa Herrera | Listo para crear con 72 predicciones
- dry_run_ready | nahuel7356@hotmail.com | Nahuel Juarez | Listo para crear con 72 predicciones
- dry_run_ready | j.perez@outlook.com | Joaquin Perez | Listo para crear con 72 predicciones
- dry_run_ready | vaguirre064@gmail.com | Valentina Aguirre | Listo para crear con 72 predicciones
- dry_run_ready | josefina878@hotmail.com | Josefina Ortiz Gonzalez | Listo para crear con 72 predicciones
- dry_run_ready | scabrera@outlook.com | Simón Cabrera | Listo para crear con 72 predicciones
- dry_run_ready | benjaminbarrios75@gmail.com | Benjamin Barrios | Listo para crear con 72 predicciones
- dry_run_ready | ojeda.pilar@hotmail.com | Pilar Ojeda Vera | Listo para crear con 72 predicciones
- dry_run_ready | juan_tevez@outlook.com | Juan Tevez | Listo para crear con 72 predicciones
- dry_run_ready | bruno94@gmail.com | Bruno Leiva | Listo para crear con 72 predicciones
- dry_run_ready | josefina92@hotmail.com | Josefina Gomez Ramos | Listo para crear con 72 predicciones
- dry_run_ready | promero@outlook.com | Paula Romero | Listo para crear con 72 predicciones
- dry_run_ready | mia9044@gmail.com | Mia Herrera | Listo para crear con 72 predicciones
- dry_run_ready | thiago_perez@hotmail.com | Thiago Perez | Listo para crear con 72 predicciones
- dry_run_ready | gael91@outlook.com | Gael Correa | Listo para crear con 72 predicciones
- dry_run_ready | ailen289@gmail.com | Ailen Medina | Listo para crear con 72 predicciones
- dry_run_ready | lola2003@hotmail.com | Lola Arce | Listo para crear con 72 predicciones
- dry_run_ready | elena.suarez@outlook.com | Elena Suarez | Listo para crear con 72 predicciones
- dry_run_ready | moram15@gmail.com | Mora Mansilla | Listo para crear con 72 predicciones
- dry_run_ready | benjamin.peralta@hotmail.com | Benjamin Peralta | Listo para crear con 72 predicciones
- dry_run_ready | d.rodriguez@outlook.com | Delfina Rodriguez | Listo para crear con 72 predicciones
- dry_run_ready | santinoojeda69@gmail.com | Santino Ojeda | Listo para crear con 72 predicciones
- dry_run_ready | herrera.milagros@hotmail.com | Milagros Herrera | Listo para crear con 72 predicciones
- dry_run_ready | sofia.suarez2@outlook.com | Sofia Suarez | Listo para crear con 72 predicciones
- dry_run_ready | delfina25@gmail.com | Delfina Arce | Listo para crear con 72 predicciones
- dry_run_ready | amparo.correa@hotmail.com | Amparo Correa | Listo para crear con 72 predicciones
- dry_run_ready | z.sosa@outlook.com | Zoe Sosa | Listo para crear con 72 predicciones
- dry_run_ready | pilar09@gmail.com | Pilar Arce | Listo para crear con 72 predicciones
- dry_run_ready | mateo29@hotmail.com | Mateo Ramos | Listo para crear con 72 predicciones
- dry_run_ready | ramiro691@outlook.com | Ramiro Suarez | Listo para crear con 72 predicciones
