Empresa: Turismo Recrear (recrear)
Area: Administración (1ab6476e-88a3-4fe5-87e8-0e75d3f7b3a8)
Prode: Mundial 2026 (f3d5c87b-09ce-4b49-81ce-207a5832756d)
Competencia: Mundial 2026
Partidos futuros con prediccion: 55
Dry run: si
Count objetivo: 50
Batch tag: recrear20260616a
Seed: 260616
Profile: batch3
Password: ********026@

Resumen:
- requested: 50
- created: 0
- ready_in_dry_run: 50
- skipped_existing_email: 0
- errors: 0
- total_predictions_created: 2750

Detalle:
- dry_run_ready | torres_mateo597@hotmail.com | Mateo Torres | Listo para crear con 55 predicciones
- dry_run_ready | florencia.serrano96@outlook.com | Florencia Serrano | Listo para crear con 55 predicciones
- dry_run_ready | franco99monzon@yahoo.com.ar | Franco Monzon | Listo para crear con 55 predicciones
- dry_run_ready | sarmiento.d06@gmail.com | Dylan Sarmiento Gonzalez | Listo para crear con 55 predicciones
- dry_run_ready | dominguez.l477@yahoo.com.ar | Lucia Dominguez | Listo para crear con 55 predicciones
- dry_run_ready | biancacoronel57@outlook.com | Bianca Coronel | Listo para crear con 55 predicciones
- dry_run_ready | pazp5704@yahoo.com.ar | Pilar Paz | Listo para crear con 55 predicciones
- dry_run_ready | cabrera_nicolas7@hotmail.com | Nicolas Cabrera | Listo para crear con 55 predicciones
- dry_run_ready | agustina89tevez@yahoo.com.ar | Agustina Tevez | Listo para crear con 55 predicciones
- dry_run_ready | alvarez.p50@yahoo.com.ar | Paula Alvarez | Listo para crear con 55 predicciones
- dry_run_ready | ledesma.a89@hotmail.com | Aldana Ledesma Nuñez | Listo para crear con 55 predicciones
- dry_run_ready | miloperalta26@yahoo.com.ar | Milo Peralta Gauna | Listo para crear con 55 predicciones
- dry_run_ready | renata.ibarram49@outlook.com | Renata Ibarra Macias | Listo para crear con 55 predicciones
- dry_run_ready | ayala00v@gmail.com | Victoria Ayala Luna | Listo para crear con 55 predicciones
- dry_run_ready | miranda27c@outlook.com | Clara Miranda | Listo para crear con 55 predicciones
- dry_run_ready | ian.diaz2002@hotmail.com | Ian Diaz | Listo para crear con 55 predicciones
- dry_run_ready | acostam0917@gmail.com | Mia Acosta | Listo para crear con 55 predicciones
- dry_run_ready | ruizparedes.a@gmail.com | Amparo Ruiz Paredes | Listo para crear con 55 predicciones
- dry_run_ready | tapia17c@yahoo.com.ar | Candela Tapia Toledo | Listo para crear con 55 predicciones
- dry_run_ready | mamaniabril54@yahoo.com.ar | Abril Mamani Benitez | Listo para crear con 55 predicciones
- dry_run_ready | victoria02.martinez@outlook.com | Victoria Martinez | Listo para crear con 55 predicciones
- dry_run_ready | roldanvillalba.s@outlook.com | Simon Roldan Villalba | Listo para crear con 55 predicciones
- dry_run_ready | ikera93@yahoo.com.ar | Iker Aguero Leiva | Listo para crear con 55 predicciones
- dry_run_ready | aguirre.n159@gmail.com | Nina Aguirre | Listo para crear con 55 predicciones
- dry_run_ready | rivero.j51@gmail.com | Juan Rivero | Listo para crear con 55 predicciones
- dry_run_ready | emilia3.moyano@gmail.com | Emilia Moyano | Listo para crear con 55 predicciones
- dry_run_ready | vicente.navarro_95@yahoo.com.ar | Vicente Navarro | Listo para crear con 55 predicciones
- dry_run_ready | maidana.c517@hotmail.com | Candela Maidana | Listo para crear con 55 predicciones
- dry_run_ready | bustos_alma8@outlook.com | Alma Bustos Britez | Listo para crear con 55 predicciones
- dry_run_ready | bazan_gonzalo850@hotmail.com | Gonzalo Bazan Carrizo | Listo para crear con 55 predicciones
- dry_run_ready | villarroelk0000@outlook.com | Kevin Villarroel | Listo para crear con 55 predicciones
- dry_run_ready | santino.suarez_2004@yahoo.com.ar | Santino Suarez Ortiz | Listo para crear con 55 predicciones
- dry_run_ready | ezequiel87ferreyra@hotmail.com | Ezequiel Ferreyra Tapia | Listo para crear con 55 predicciones
- dry_run_ready | guadalupe.molina84@hotmail.com | Guadalupe Molina | Listo para crear con 55 predicciones
- dry_run_ready | quirogathiago31@gmail.com | Thiago Quiroga | Listo para crear con 55 predicciones
- dry_run_ready | acuna502g@yahoo.com.ar | Guadalupe Acuña | Listo para crear con 55 predicciones
- dry_run_ready | perez.s499@yahoo.com.ar | Santino Perez | Listo para crear con 55 predicciones
- dry_run_ready | godoynicolas6@outlook.com | Nicolas Godoy | Listo para crear con 55 predicciones
- dry_run_ready | lopez95r@hotmail.com | Ramiro Lopez | Listo para crear con 55 predicciones
- dry_run_ready | maldonado_olivia956@hotmail.com | Olivia Maldonado Ojeda | Listo para crear con 55 predicciones
- dry_run_ready | tpthiara86@outlook.com | Thiara Ponce | Listo para crear con 55 predicciones
- dry_run_ready | correalucia6@outlook.com | Lucia Correa Juarez | Listo para crear con 55 predicciones
- dry_run_ready | emilia4.cejas@yahoo.com.ar | Emilia Cejas | Listo para crear con 55 predicciones
- dry_run_ready | julieta.herrera2003@gmail.com | Julieta Herrera | Listo para crear con 55 predicciones
- dry_run_ready | julieta23.brizuela@yahoo.com.ar | Julieta Brizuela | Listo para crear con 55 predicciones
- dry_run_ready | dylanramos17@gmail.com | Dylan Ramos Miranda | Listo para crear con 55 predicciones
- dry_run_ready | salvador.silva2005@yahoo.com.ar | Salvador Silva | Listo para crear con 55 predicciones
- dry_run_ready | pilararce266@gmail.com | Pilar Arce | Listo para crear con 55 predicciones
- dry_run_ready | pereyra_paula692@gmail.com | Paula Pereyra Cardozo | Listo para crear con 55 predicciones
- dry_run_ready | abrilflores597@outlook.com | Abril Flores | Listo para crear con 55 predicciones
